coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
DPSIRDRI,1.9044034976838944,1.4725137348370128,1.4841882261177926,1.2831280185164005,0.1994472,3,DPSEA.noDr
x0008,0.38737291322170225,0.19297965275599477,0.19606561751033927,1.975730972827373,0.0481853,3,DPSEA.noDr
DPSIRUSE:x0008,0.6254810363438991,0.28800307059505603,0.29352155346793907,2.130954367588612,0.0330929,3,DPSEA.noDr
DPSIRRESISTANCE:x0008,-0.19352651045498862,0.18639121755855412,0.18998257461005855,1.01865400472756,0.3083673,3,DPSEA.noDr
DPSIRDRI:x0008,-2.2087005846909373,0.6936061086950417,0.7071492491928522,3.12338673513685,0.0017878,3,DPSEA.noDr
MonitoringandSurveillance,-0.17587479167304312,0.11658785742103649,0.1184127622655411,1.485268887475517,0.1374726,3,DPSEA.noDr
DPSIRUSE:MonitoringandSurveillance,0.18139106022823195,0.19799590701586267,0.20179987225722912,0.8988660805345675,0.368724,3,DPSEA.noDr
DPSIRRESISTANCE:MonitoringandSurveillance,1.2140555327560028,1.2582159120402836,1.2786818568601575,0.9494586368318022,0.3423874,3,DPSEA.noDr
DPSIRDRI:MonitoringandSurveillance,2.6331328576118396,1.926289199595312,1.9576351600490591,1.3450580125184572,0.1786065,3,DPSEA.noDr
RESPONSE,-0.08033888105341995,0.08323041975514757,0.08486009104231663,0.9467215986529861,0.3437807,3,DPSEA.noDr
General,-0.04908230239161048,0.085319947499818,0.08699053223400861,0.5642257971198151,0.5726005,3,DPSEA.noDr
AwarenessandEducation,0.026433190823909356,0.08265477059670523,0.08427317053731909,0.31366080871733454,0.7537787,3,DPSEA.noDr
GDPcap_mean,-0.05450171504270323,0.09049543580509549,0.09226735782333444,0.5906933538408936,0.5547259,3,DPSEA.noDr
(Intercept),-0.7920146584099391,0.31863200121278085,0.3250794757377808,2.436372387436735,0.0148354,4,aP.noDr
DPSIRUSE,0.3554407057238384,0.3602918539892019,0.3675823098797548,0.9669690193744954,0.3335595,4,aP.noDr
DPSIRRESISTANCE,1.2521278586123437,0.46344679537385514,0.4728245772522999,2.648186915089666,0.0080925,4,aP.noDr
DPSIRDRI,4.863315116464723,1.3553563116882767,1.3827817594105614,3.5170518293051605,4.364e-4,4,aP.noDr
x0008,0.19660916624212668,0.09801155989266445,0.09999481026663258,1.9661937026319205,0.0492762,4,aP.noDr
DPSIRUSE:x0008,0.24107664887814137,0.1309117890556347,0.1335607710214942,1.8049959358151986,0.0710753,4,aP.noDr
DPSIRRESISTANCE:x0008,-0.28577594828521025,0.2498403637869928,0.254895849032361,1.1211479095092238,0.2622249,4,aP.noDr
DPSIRDRI:x0008,-1.5488746628913335,0.4294347976298109,0.43812435143271894,3.5352398418995166,4.074e-4,4,aP.noDr
(Intercept),0,0,0,NA,NA,5,aS.noDr
DPSIRUSE,0.07355513227772809,0.5803607801076479,0.5974486069308064,0.12311541348400347,0.9020157,5,aS.noDr
DPSIRRESISTANCE,0.7756574124228948,0.3692880577123355,0.38231427455237843,2.0288476367539525,0.0424738,5,aS.noDr
DPSIRDRI,2.2922379695910533,1.3667226815645241,1.3854697028610428,1.6544843707931705,0.0980291,5,aS.noDr
x0008,0.39446756965787,0.2325279095795963,0.24318308351480836,1.6221011920586546,0.1047817,5,aS.noDr
DPSIRUSE:x0008,1.0493449805492843,0.40934073182806385,0.42852716265615143,2.4487245430257003,0.0143363,5,aS.noDr
