coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
x0008,0.035530243027191585,0.5767863343144809,0.581852065136106,0.06106404901885224,0.9513082,5,aS.noDr
meantmpAreaPop,-0.04148008684525718,0.35275643430653697,0.3557158029043995,0.11661018854539103,0.907169,5,aS.noDr
DPSIRUSE:MonitoringandSurveillance,-2.5818416966852156,1.0642731100756302,1.073757927637485,2.4044913944112736,0.016195,5,aS.noDr
DPSIRRESISTANCE:MonitoringandSurveillance,-2.7597845125258487,1.0790669773321213,1.0886836380558804,2.534973812460469,0.0112456,5,aS.noDr
DPSIRDRI:MonitoringandSurveillance,-1.364709520389326,1.0810482951712326,1.0906826134286247,1.251243490623988,0.2108457,5,aS.noDr
(Intercept),-3.0772506345675614,0.8483456097225585,0.8562949903106095,3.593680529943694,3.26e-4,6,aE.noDr
DPSIRUSE,5.699384826788155,1.3069950794283711,1.3193377429525137,4.319883105923765,1.56e-5,6,aE.noDr
DPSIRRESISTANCE,2.5804763254034087,0.9479510738392973,0.9567477006040565,2.6971335533643694,0.0069939,6,aE.noDr
DPSIRDRI,5.977079908872127,1.4891096742404313,1.5032355067620387,3.9761433800527537,7e-5,6,aE.noDr
General,-1.4059105810641714,0.521737989482513,0.5262433747015035,2.6715976839834497,0.0075491,6,aE.noDr
prod.per.area,1.0024534301115378,0.4598424573609594,0.46423223949323994,2.159379174539504,0.0308208,6,aE.noDr
RESPONSE,-1.3636332061322458,0.6387012824468936,0.6427218623022747,2.1216536827417327,0.0338668,6,aE.noDr
AwarenessandEducation,-1.214130233265003,0.6081720427893482,0.6120068176011446,1.9838508303289402,0.0472725,6,aE.noDr
GDPcap_mean,-0.5703686903684444,0.5600658280010978,0.5635395999855168,1.01211820852182,0.3114815,6,aE.noDr
x0008,0.01683115862977283,0.6318268189383894,0.6377578025242255,0.026391144981928294,0.9789454,6,aE.noDr
MonitoringandSurveillance,0.12993604429811517,0.5336658563796159,0.5384294649989222,0.2413241710283728,0.8093039,6,aE.noDr
meantmpAreaPop,-0.7341742853112248,1.6023499702174915,1.608478735806465,0.4564401561349344,0.6480735,6,aE.noDr
gini,-0.09922082115750548,0.39679749034109796,0.4003292835925088,0.24784802217591798,0.804252,6,aE.noDr
PopDensity,0.0516546517706463,0.3893439631577161,0.39304868477167915,0.13142049260552122,0.8954427,6,aE.noDr
DPSIRUSE:meantmpAreaPop,4.070248132483505,2.0757338882874126,2.0963589080436225,1.9415798110076334,0.052188,6,aE.noDr
DPSIRRESISTANCE:meantmpAreaPop,4.891730857317666,2.4270580842791176,2.4511739505855767,1.9956685881673344,0.04597,6,aE.noDr
DPSIRDRI:meantmpAreaPop,2.66949823663419,2.2140083704577136,2.23600732063084,1.1938682901454232,0.2325295,6,aE.noDr
(Intercept),-21.890520986604947,19.402566755971097,19.570535725537145,1.1185448008988588,0.2633344,7,aP
DPSIRUSE,33.03364131679886,20.413646079146897,20.590368011874954,1.6043249590171273,0.1086424,7,aP
DPSIRRESISTANCE,22.61377988372223,16.622053539540243,16.765951470170943,1.348791920575186,0.1774038,7,aP
DPSIRDRI,33.61798462192523,19.03523171005198,19.200020642155742,1.7509348166070862,0.0799571,7,aP
meantmpAreaPop,-7.907857523077289,21.92175111790831,22.111528789732336,0.3576350418044982,0.7206165,7,aP
DPSIRUSE:meantmpAreaPop,8.20055965967971,28.143786429412092,28.3874285653053,0.2888799751909306,0.7726732,7,aP
DPSIRRESISTANCE:meantmpAreaPop,21.515932248720855,15.976125532979127,16.114431633258697,1.3351964709890207,0.1818121,7,aP
DPSIRDRI:meantmpAreaPop,-15.631129364376006,28.14058433391256,28.384198749108382,0.5506982776770127,0.5818405,7,aP
(Intercept),-3.410603636334407,2.266510918731722,2.274009765093666,1.4998192570179771,0.1336612,8,aS
DPSIRUSE,7.409464848375585,4.283121909088855,4.308290607751809,1.7198154727640478,0.085466,8,aS
DPSIRRESISTANCE,3.2614498519975306,1.7427158750708291,1.7523164027596276,1.8612220069738838,0.0627128,8,aS
DPSIRDRI,6.605129510440679,4.11563958296725,4.134546480407806,1.5975463189832586,0.110144,8,aS
RESPONSE,-1.6406742679685629,0.7204139842500586,0.7264706021796682,2.2584179773358497,0.0239196,8,aS
workTotal,1.2487878761281457,0.5509880107525562,0.5568623854296052,2.2425430569614386,0.0249263,8,aS
General,-1.6148338691754687,0.6111426296019308,0.6179140878655116,2.6133630886352854,0.0089656,8,aS
prod.per.area,1.0550090966189158,0.5227471884090861,0.5289692979082694,1.9944618729117034,0.0461016,8,aS
AwarenessandEducation,-1.1791727733875796,0.6092429439047099,0.6145037199737586,1.9189025795286223,0.0549967,8,aS
meantmpAreaPop,-0.28761218894248985,0.33665332525984676,0.3399031403165023,0.8461592578246806,0.3974639,8,aS
DPSIRUSE:meantmpAreaPop,1.009805492251823,0.0014943154966299,0.0015126193176951777,667.587330426596,0,8,aS
DPSIRRESISTANCE:meantmpAreaPop,7.435352149189347,0.0015749934148468767,0.0015942854570624358,4663.752100511171,0,8,aS
DPSIRDRI:meantmpAreaPop,-6.240153824876452,0.0014943506741918382,0.001512654926145908,4125.298980631183,0,8,aS
sanTotal,1.2688747696123137,4.237501957775131,4.286302690825683,0.2960301362589693,0.7672071,8,aS
MonitoringandSurveillance,0.650641442323173,1.0132845581428898,1.0180428826093257,0.6391100546329902,0.5227513,8,aS
vacTotal,0.5641476352772984,0.4581598988966459,0.4633241674281815,1.2176089117232272,0.2233726,8,aS
GDPcap_mean,0.1814155433324387,0.8666161877881632,0.8708013090767405,0.2083317301449431,0.83497,8,aS
DPSIRUSE:sanTotal,-4.073839936402348,31.5166380579113,31.90268431446967,0.12769583575619783,0.8983897,8,aS
DPSIRRESISTANCE:sanTotal,1.895302203679015,4.484388827832222,4.539317958177781,0.4175301710832009,0.6762907,8,aS
DPSIRDRI:sanTotal,24.330204366664265,30.678349359005477,31.054127445033313,0.7834773142388051,0.4333469,8,aS
gini,-0.3933071065476334,0.4719567248382809,0.4772142895291208,0.8241729453150267,0.4098413,8,aS
PopDensity,-0.23887829867023438,0.45463846498959365,0.46009684197272854,0.5191913459914457,0.6036273,8,aS
x0008,0.40423054479424925,0.7135388251980801,0.721820276888024,0.560015502109478,0.5754689,8,aS
infTotal,-0.0014251947479378777,0.43708853904501793,0.442336212096989,0.003221971678921422,0.9974292,8,aS
DPSIRUSE:RESPONSE,-3.423943162968567,2.0683397652973494,2.093674790632751,1.6353748816614362,0.1019705,8,aS
DPSIRRESISTANCE:RESPONSE,-1.2690132572517607,0.911110669056003,0.922270833488934,1.3759659431613014,0.1688322,8,aS
DPSIRDRI:RESPONSE,-0.9963432615213698,1.163134657170388,1.1773818550932393,0.8462362972652294,0.3974209,8,aS
(Intercept),-20.659903127360437,0.0033957800527241416,0.0034420580325918147,6002.194887982136,0,9,aE
DPSIRUSE,37.033464247261286,0.003292751590424856,0.003337625489630633,11095.75186380773,0,9,aE
DPSIRRESISTANCE,18.160376769532647,1.9393634818835683,1.9657932926419859,9.238192457725539,2.5070000000000002e-20,9,aE
DPSIRDRI,46.33794668420948,0.0033829142061021426,0.003429016849115924,13513.478855070782,0,9,aE
meantmpAreaPop,-7.770679448877932,0.003395197092162208,0.0034414671273936765,2257.95544784497,0,9,aE
DPSIRUSE:meantmpAreaPop,13.020568967318559,0.003390041065928838,0.003436240834395522,3789.1898719633955,0,9,aE
DPSIRRESISTANCE:meantmpAreaPop,26.429407343471063,3.1027731694325844,3.1450580265315495,8.40347208875446,4.334679e-17,9,aE
DPSIRDRI:meantmpAreaPop,-2.310730555131106,0.0033006762492436767,0.0033456581463749907,690.6654697028071,0,9,aE
(Intercept),-1.463702696423182,0.34574739119977566,0.3464799938462639,4.224494119197657,2.39e-5,10,Dr
GDPcap_mean,0.5484846934870892,0.2812195843767627,0.28215862430094957,1.9438877505373608,0.051909,10,Dr
x0008,0.27212736560184714,0.1617565777535762,0.16244019413177563,1.6752464933715265,0.0938859,10,Dr
meantmpAreaPop,-0.28418038736680884,0.20292819512952537,0.20368205665604133,1.3952156219961258,0.1629508,10,Dr
General,-0.3480055778493938,0.4983386978156042,0.4989806128766605,0.6974330642690016,0.4855318,10,Dr
incomeHIC,0.5480799537727806,0.8256792044301314,0.8272247430785626,0.662552659792393,0.5076171,10,Dr
General:incomeHIC,1.2872921924058558,0.4293540615936987,0.4312945124525076,2.9847172992900233,0.0028384,10,Dr
prod.per.area,0.13983525813663553,0.1501706513132946,0.15074186703289547,0.927647115489953,0.3535906,10,Dr
gini,-0.12599896222678214,0.19530633501183875,0.1961516086544452,0.6423549778210129,0.5206427,10,Dr
PopDensity,0.11634094775521675,0.14728438898120522,0.14782935059802166,0.786994918699005,0.4312848,10,Dr
MonitoringandSurveillance,0.10353718836728497,0.24074319522044785,0.24162184173963738,0.4285092259120049,0.6682804,10,Dr
RESPONSE,-0.06788603444619222,0.22939741906940184,0.23026988588979222,0.29481073560214754,0.7681385,10,Dr
AwarenessandEducation,-0.027630200767812352,0.17395245804280773,0.17471502168139236,0.15814439137464872,0.874343,10,Dr
GDPcap_mean:incomeHIC,-1.5383296209617994,1.9223066199752248,1.9309944183805297,0.79665151091009,0.4256535,10,Dr
incomeHIC:x0008,-0.5349499848531885,0.3358571910464476,0.3373750860266049,1.5856238560869997,0.1128247,10,Dr
incomeHIC:meantmpAreaPop,0.46016865156216524,0.35306423737321574,0.354659899005209,1.297492760960287,0.1944617,10,Dr
incomeHIC:RESPONSE,0.8542990889390232,0.4209374122505959,0.42283982435326606,2.0203846462325883,0.0433435,10,Dr
(Intercept),1.6831888676237,0.2701674629445299,0.27207345250770026,6.1865237203768055,0,11,P
MonitoringandSurveillance,-0.7989730644993384,0.31949625675830323,0.3216473466257979,2.4840032814847297,0.0129915,11,P
x0008,-0.6988641976312746,0.21714984908782178,0.2187978909447325,3.194108474326222,0.0014026,11,P
infTotal,-0.22735983085339084,0.19291372327393894,0.1943495879003096,1.169849822218371,0.2420614,11,P
RESPONSE,-0.6830990476003759,0.3255752267179596,0.32750018367825945,2.085797448808339,0.036997,11,P
meantmpAreaPop,-0.16308339659462612,0.32892989370505304,0.3307321277428163,0.49309813868897223,0.6219432,11,P
workTotal,0.09310759470290474,0.35573508960227984,0.3575559650784021,0.26040005984095055,0.7945552,11,P
vacTotal,0.14905996988399037,0.24291536157184979,0.24466389508177264,0.6092438356471472,0.5423628,11,P
prod.per.area,0.17570779240051437,0.2516377094223169,0.25336415678708546,0.6934990119702307,0.4879964,11,P
PopDensity,-0.11408475263967316,0.19907092218793038,0.20032787695195722,0.5694901497260566,0.5690236,11,P
gini,-0.07259083482644618,0.2600932788091599,0.2618786183003302,0.27719267536075376,0.7816322,11,P
General,-0.03143135697882262,0.39042160906533685,0.39199681953896076,0.08018268366511234,0.936092,11,P
incomeHIC,-0.3024854776496272,0.7465030679363424,0.7499036140247147,0.4033658086086489,0.6866791,11,P
AwarenessandEducation,-0.1472737527168949,0.3759992320368532,0.3776354590062428,0.3899892057394438,0.6965445,11,P
GDPcap_mean,-0.09227056501771239,0.32821681171548617,0.32990334802449167,0.27968968963255963,0.7797156,11,P
sanTotal,-0.11329945121132662,0.2953074764714716,0.29707197219673254,0.3813872119053202,0.7029159,11,P
incomeHIC:x0008,0.21601422904657286,0.46090973204900126,0.4644224873635779,0.4651243962643521,0.6418424,11,P
(Intercept),0.09827833595071671,553.0132635339297,565.6862909809795,1.7373292851111571e-4,0.9998614,12,S
GDPcap_mean,0.7281379883634571,0.5920613694354128,0.6009858222995286,1.2115726550377033,0.225676,12,S
MonitoringandSurveillance,-1.0006432027108458,0.5842993185383955,0.5934979038664194,1.6860096660696278,0.0917939,12,S
x0008,-1.8728776618564429,375.9682893527594,384.5840791768158,0.004869878300384274,0.9961144,12,S
infTotal,-0.46058913577741445,0.4784554520755409,0.48697129188437777,0.9458240012365507,0.3442384,12,S
vacTotal,0.5367138707319851,0.3397131107239355,0.34733784799607426,1.5452213855429058,0.1222927,12,S
AwarenessandEducation,-0.6731233960031154,0.44578460038820544,0.4535110657629226,1.4842491105939128,0.1377428,12,S
meantmpAreaPop,0.570881618205397,0.4707975670753798,0.48077220714799446,1.1874264146672364,0.2350595,12,S
