coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
workTotal,0.47896398101057147,0.18763798690401465,0.19331964165969906,2.4775753611921787,0.0132278,18,SE
x0008,0.3860477685328122,0.16279575633796695,0.16854500298892222,2.290472940085833,0.0219939,18,SE
meantmpAreaPop,0.521235248821683,0.1613487566055735,0.16694468104631774,3.12220338830124,0.001795,18,SE
DPSIRDRI,0.2550359629828322,0.5195007459307277,0.5311970393131857,0.4801155580847785,0.6311452,18,SE
infTotal,-0.11569935360706195,0.2497503614697541,0.2556556150616754,0.4525594072289403,0.650866,18,SE
DPSIRDRI:infTotal,0.274290051575234,0.22622997304710804,0.23541201555076063,1.1651489025890027,0.2439587,18,SE
GDPcap_mean,-0.6294967671297907,0.23739859954736414,0.24368596321594593,2.5832294926727184,0.009788,18,SE
RESPONSE,-0.21743426817915767,0.24863662524096794,0.2556369148102375,0.8505589591415695,0.3950144,18,SE
MonitoringandSurveillance,-0.2767230890419773,0.20219415628666973,0.20892309971587006,1.3245212684395045,0.18533,18,SE
sanTotal,0.08440069118363315,0.23331085350888922,0.23987767292782003,0.35184888261372116,0.7249516,18,SE
General,-0.33761472450841856,0.23644009902200813,0.24423134121804985,1.3823562644525462,0.1668623,18,SE
vacTotal,0.1278712391238718,0.21351888338314312,0.22057207963758013,0.5797254091903916,0.5620998,18,SE
AwarenessandEducation,-0.10756454288105434,0.23467081431480927,0.24103486090287798,0.44626135189795696,0.6554085,18,SE
DPSIRDRI:workTotal,-0.9377146521874975,0.6610520311761562,0.6878822860960974,1.3631905794656536,0.1728225,18,SE
DPSIRDRI:sanTotal,2.0792674675666643,2.7339501168057367,2.844913513199498,0.7308719431784205,0.4648574,18,SE
DPSIRDRI:MonitoringandSurveillance,-1.0396517478750325,0.8081251676341129,0.8409247102302776,1.2363196552879696,0.2163398,18,SE
DPSIRDRI:vacTotal,-2.57016790991173,1.8338708891686162,1.9083025845967505,1.3468345799336852,0.1780335,18,SE
gini,0.25524957231351864,0.2197717434911362,0.22660122150136275,1.126426285888241,0.2599851,18,SE
DPSIRDRI:RESPONSE,-0.6098543315005147,0.5029280183287704,0.523340461376761,1.1653108760139816,0.2438932,18,SE
